,listing_id,name,host_id,neighbourhood,latitude,longitude,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_value,calculated_host_listings_count,reviews_per_month
174,835627.0,Occasional availability Centre Apt,3054367.0,Centrum-Oost,52.36899,4.91607,Entire home/apt,4.0,3.0,3.0,180.0,4.0,13.0,66.0,15.0,5.0,4.77,5.0,1.0,0.13
216,982907.0,"Clean, spacious, 2 bathroom LOFT",3971476.0,Oostelijk Havengebied - Indische Buurt,52.37,4.95127,Entire home/apt,4.0,3.0,2.0,145.0,5.0,1125.0,4.0,7.0,4.71,4.86,5.0,1.0,0.07
229,1021538.0,spacious urban home with garden,5622526.0,Slotervaart,52.35166,4.83893,Entire home/apt,5.0,3.0,3.0,249.0,7.0,20.0,27.0,6.0,5.0,5.0,5.0,1.0,0.09
268,1182421.0,Entire home 120 m2 Amsterdam Noord (+ sweet cat),3136773.0,Oud-Noord,52.39259,4.91565,Entire home/apt,4.0,3.0,3.0,90.0,4.0,1125.0,28.0,2.0,4.5,5.0,5.0,1.0,0.28
416,1964479.0,Spacious apartment in vibrant neighbourhood,4651226.0,Oud-Noord,52.38745,4.91972,Entire home/apt,4.0,3.0,2.0,350.0,2.0,1125.0,76.0,2.0,5.0,5.0,5.0,1.0,0.04
480,2588415.0,Idyllic summerhouse near Amsterdam,13253463.0,Gaasperdam - Driemond,52.28906,5.00298,Entire home/apt,4.0,2.0,4.0,160.0,3.0,1125.0,215.0,8.0,5.0,5.0,5.0,1.0,0.1
597,3413219.0,Nice spacious apartment w/ parking.,12167638.0,Watergraafsmeer,52.35629,4.94228,Entire home/apt,4.0,2.0,2.0,150.0,5.0,1125.0,129.0,1.0,5.0,5.0,5.0,1.0,0.01
644,3829648.0,Luxury 17th century monument home with canal views,19711470.0,Centrum-West,52.37385,4.88359,Entire home/apt,4.0,2.0,5.0,488.0,7.0,150.0,187.0,13.0,5.0,4.92,5.0,1.0,0.14
1000,6806602.0,New Family Home close to Center. Free parking!,29585407.0,Oud-Noord,52.39976,4.90331,Entire home/apt,4.0,3.0,3.0,250.0,5.0,30.0,28.0,7.0,4.71,4.86,5.0,1.0,0.2
1181,8759061.0,Park Mansion including Food Drinks Wines FIREPLACE,45641998.0,Zuid,52.3604,4.88219,Entire home/apt,2.0,1.0,1.0,280.0,3.0,1125.0,303.0,14.0,5.0,4.92,5.0,5.0,0.21
1300,10101483.0,Bright apartment near center Amsterdam,40459076.0,Oud-Oost,52.36472,4.92574,Entire home/apt,2.0,1.0,1.0,130.0,3.0,10.0,43.0,2.0,5.0,5.0,5.0,1.0,0.23
1464,12427626.0,"Family house, 20 min by tram from town center",67222167.0,IJburg - Zeeburgereiland,52.34633,5.00947,Entire home/apt,4.0,3.0,3.0,210.0,4.0,7.0,349.0,10.0,4.78,4.78,5.0,1.0,0.15
1590,13527219.0,Bright and Spacious Canal District Apartment,2397361.0,Centrum-West,52.37032,4.89104,Entire home/apt,2.0,1.0,1.0,275.0,3.0,120.0,254.0,11.0,5.0,5.0,5.0,1.0,0.16
1720,14610851.0,Cozy amsterdam apartment with garden,49858484.0,Buitenveldert - Zuidas,52.33217,4.88236,Entire home/apt,2.0,1.0,1.0,99.0,5.0,1125.0,28.0,2.0,5.0,5.0,5.0,1.0,0.32
1816,15591889.0,Romantic Apartment in Trendy De Pijp - Canal View,1656490.0,Zuid,52.34835,4.88619,Entire home/apt,3.0,2.0,2.0,120.0,4.0,14.0,3.0,9.0,5.0,5.0,5.0,1.0,0.14
1850,15861762.0,Home in the most outstanding area of Amsterdam,261549.0,Oostelijk Havengebied - Indische Buurt,52.36459,4.93512,Entire home/apt,2.0,1.0,1.0,180.0,4.0,14.0,352.0,1.0,5.0,5.0,5.0,1.0,0.03
1990,17236712.0,LUXURY FAMILY HOUSE  IN AMSTERDAM,3983732.0,Watergraafsmeer,52.35249,4.94138,Entire home/apt,4.0,3.0,2.0,249.0,4.0,30.0,131.0,2.0,5.0,5.0,5.0,1.0,0.04
1999,17311781.0,New design studio in trendy North,1181201.0,Oud-Noord,52.39712,4.90749,Entire home/apt,2.0,1.5711378353376504,2.0,125.0,4.0,60.0,15.0,11.0,5.0,5.0,5.0,1.0,0.18
2065,17889982.0,"Amsterdam, Houthavens (2p)",122536841.0,Westerpark,52.39565,4.87874,Entire home/apt,2.0,1.0,2.0,250.0,4.0,1125.0,358.0,13.0,5.0,5.0,5.0,1.0,0.22
2089,18082645.0,"Family house in Amsterdam Area, Diemen",2379776.0,Watergraafsmeer,52.34197,4.95708,Entire home/apt,6.0,4.0,3.0,150.0,3.0,1125.0,58.0,8.0,5.0,4.71,5.0,1.0,0.13
2131,18392202.0,Riant woon-werkhuis aan groene rand van Amsterdam,12610858.0,Gaasperdam - Driemond,52.30448,4.97025,Entire home/apt,4.0,3.0,3.0,135.0,14.0,23.0,130.0,3.0,5.0,5.0,5.0,1.0,0.05
2215,19013423.0,Comfortable family home 2 adults 3 kids up to 12,96060378.0,Noord-Oost,52.40679,4.93145,Entire home/apt,5.0,3.0,4.0,187.0,4.0,1125.0,127.0,4.0,4.75,4.75,5.0,1.0,0.07
2224,19136133.0,Admirable loft apartment in the Museum District,128228871.0,Zuid,52.35301,4.8847,Entire home/apt,3.0,1.0,1.0,120.0,7.0,49.0,66.0,7.0,5.0,5.0,5.0,1.0,0.12
2259,19498871.0,Beautiful ground floor apartment with garden,27967454.0,Oud-Oost,52.35897,4.9262,Entire home/apt,3.0,2.0,3.0,160.0,3.0,30.0,75.0,9.0,5.0,5.0,5.0,1.0,0.16
2261,19523311.0,Gezinswoning,93199542.0,Noord-Oost,52.39713,4.9573,Entire home/apt,4.0,2.0,2.0,150.0,7.0,30.0,22.0,5.0,5.0,5.0,5.0,1.0,0.09
2277,19641424.0,"Super design flat with garden, close to everything",2610108.0,De Pijp - Rivierenbuurt,52.34669,4.89401,Entire home/apt,7.0,3.0,5.0,590.0,4.0,1125.0,143.0,2.0,5.0,5.0,5.0,1.0,0.04
2295,19839944.0,Unique place (15 cycling min. from A.dam center),140239847.0,Watergraafsmeer,52.33276,4.9425,Entire home/apt,4.0,2.0,4.0,175.0,7.0,1125.0,258.0,5.0,5.0,5.0,5.0,1.0,0.11
2371,20563411.0,Houseboat near Jordaan: unique canal view & garden,7047688.0,Westerpark,52.38164,4.8675,Entire home/apt,2.0,1.0,1.0,159.0,3.0,1125.0,20.0,5.0,5.0,5.0,5.0,1.0,0.09
2545,22168849.0,Tranquil penthouse in between the canals,17549843.0,Centrum-Oost,52.36044,4.8963,Entire home/apt,2.0,1.0,1.0,185.0,25.0,1125.0,15.0,3.0,5.0,5.0,5.0,1.0,0.43
2557,22300847.0,"High-end, tastefully decorated apartment & terrace",112106933.0,Zuid,52.34447,4.86642,Entire home/apt,2.0,1.0,1.0,220.0,3.0,32.0,174.0,1.0,5.0,5.0,5.0,1.0,0.43
2598,22716592.0,Unique spacious houseboat & garden in Amsterdam,8193478.0,Zuid,52.33918,4.84905,Entire home/apt,4.0,4.0,4.0,395.0,4.0,14.0,158.0,3.0,5.0,5.0,5.0,1.0,0.07
2600,22732874.0,Sail through Holland on a traditional Dutch Ship,23667032.0,Oud-Noord,52.3841,4.90412,Entire home/apt,16.0,5.0,16.0,814.0,2.0,1125.0,191.0,2.0,5.0,5.0,5.0,2.0,0.06
2613,22883559.0,Spacious family house with big garden,9133733.0,Noord-West,52.41044,4.90729,Entire home/apt,6.0,4.0,5.0,175.0,6.0,1125.0,46.0,2.0,5.0,5.0,5.0,1.0,0.1
2656,23414875.0,"Family home close to Central Station, free parking",23738054.0,IJburg - Zeeburgereiland,52.35638,4.99051,Entire home/apt,4.0,4.0,4.0,180.0,4.0,21.0,81.0,5.0,5.0,5.0,5.0,1.0,0.11
